iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
LBN,Asia,Lebanon,2023-12-06,1239904.0,0.0,0.0,10947.0,0.0,0.0,215842.16,0.0,0.0,1905.65,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.56,31.1,8.51,5.43,13367.56,,266.59,12.71,26.9,40.7,,2.9,78.93,0.74,5489744,,,,
HUN,Europe,Hungary,2020-08-02,4526.0,91.0,13.0,597.0,1.0,0.14,467.35,9.4,1.34,61.65,0.1,0.02,1.19,,,,,,,,,344767.0,2110.0,35.51,0.22,2635.0,0.27,0.01,184.4,tests performed,,,,,,,,,,,,,,49.07,108.04,43.4,18.58,11.98,26777.56,0.5,278.3,7.55,26.8,34.8,,7.02,76.88,0.85,9967304,-3348.5,-4.22,2.29,-343.42
KEN,Africa,Kenya,2022-12-04,341636.0,176.0,25.14,5684.0,0.0,0.0,6297.15,3.24,0.46,104.77,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,22921294.0,14161751.0,10773492.0,1692282.0,,11245.0,42.43,26.21,19.94,3.13,208.0,4904.0,0.01,20.93,87.32,20.0,2.69,1.53,2993.03,36.8,218.64,2.92,1.2,20.4,24.65,1.4,66.7,0.6,54027484,,,,
PRY,South America,Paraguay,2022-10-26,717628.0,0.0,52.57,19598.0,0.0,0.29,106150.75,0.0,7.78,2898.92,0.0,0.04,0.49,,,,,,,,,,,,,,,,,,,,,,,1507.0,,,,,222.0,198.0,0.0,11.11,17.14,26.5,6.38,3.83,8827.01,1.7,199.13,8.27,5.0,21.6,79.6,1.3,74.25,0.73,6780745,,,,
OWID_NIR,Europe,Northern Ireland,2021-01-16,,,,,,,,,,,,,,45.0,23.73,504.0,265.82,,,391.0,206.22,,,,,,,,,,140561.0,120387.0,20174.0,,3181.0,8101.0,7.41,6.35,1.06,,4273.0,7064.0,0.37,,,,,,,,,,,,,,,,1896000,,,,
MNP,Oceania,Northern Mariana Islands,2021-03-17,154.0,0.0,1.29,2.0,0.0,0.0,3340.49,0.0,27.89,43.38,0.0,0.0,,,,,,,,,,34150.0,250.0,690.16,5.05,171.0,3.46,0.02,52.6,tests performed,,,,,,,,,,,,,,,119.88,,,,,,194.99,,,,,,76.74,,49574,,,,
USA,North America,United States,2023-12-17,103436829.0,,,1160307.0,1850.0,264.29,302859.5,,,3397.34,5.42,0.77,,2482.0,7.34,21134.0,62.47,,,25677.0,75.9,,,,,,,,,,,,,,,,,,,,,,,,35.61,38.3,15.41,9.73,54225.45,1.2,151.09,10.79,19.1,24.6,,2.77,78.86,0.93,338289856,1341846.0,11.41,3.52,3946.65
PRI,North America,Puerto Rico,2023-05-30,1249469.0,0.0,986.14,5938.0,0.0,0.0,385523.03,0.0,304.27,1832.17,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.23,38.2,15.17,9.83,35044.67,,108.09,12.9,,,,,80.1,,3252412,,,,
OWID_ENG,Europe,England,2023-02-27,,,,,,,,,,,,,,168.0,2.97,7622.0,134.78,,,5911.0,104.53,,,,,,,,,,144775560.0,45410880.0,42940372.0,77495690.0,521.0,1037.0,256.01,80.3,75.93,137.04,18.0,266.0,0.0,,,,,,,,,,,,,,,,56550000,,,,
MUS,Africa,Mauritius,2021-10-08,25799.0,0.0,582.29,90.0,0.0,1.57,20216.53,0.0,456.29,70.53,0.0,1.23,1.01,,,,,,,,,,,,,,,,,,,,,,,4300.0,,,,,3309.0,1987.0,0.15,40.72,622.96,37.4,10.94,5.88,20292.74,0.5,224.64,22.02,3.2,40.7,,3.4,74.99,0.8,1299478,,,,
TCD,Africa,Chad,2021-05-10,4874.0,0.0,7.14,171.0,0.0,0.14,264.1,0.0,0.39,9.27,0.0,0.01,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,11.83,16.7,2.49,1.45,1768.15,38.4,281.0,6.1,,,5.82,,54.24,0.4,17723312,,,,
SAU,Asia,Saudi Arabia,2024-03-20,841469.0,0.0,0.0,9646.0,0.0,0.0,26152.6,0.0,0.0,299.8,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.32,31.9,3.3,1.84,49045.41,,259.54,17.72,1.8,25.4,,2.7,75.13,0.85,36408824,,,,
GAB,Africa,Gabon,2022-05-26,47622.0,0.0,2.0,304.0,0.0,0.0,19591.47,0.0,0.82,125.06,0.0,0.0,0.2,,,,,,,,,,,,,48.0,0.02,0.04,24.0,tests performed,,,,,,37.0,,,,,15.0,150.0,0.01,11.11,7.86,23.1,4.45,2.98,16562.41,3.4,259.97,7.2,,,,6.3,66.47,0.7,2388997,,,,
